#Number of Records in Grid: 327
#Number of Samples in Grid: 327
#Grid Interval in Scan Direction: 32
#Grid Interval in Pix Direction: 32
#  Latitude  Longitude Slant Range Incidence_Angle
 21.997016  70.250207 -9999.000000 -9999.000000
 21.996974  70.255785 -9999.000000 -9999.000000
 21.996931  70.261363 -9999.000000 -9999.000000
 21.996888  70.266941 -9999.000000 -9999.000000
 21.996845  70.272520 -9999.000000 -9999.000000
 21.996801  70.278098 -9999.000000 -9999.000000
 21.996758  70.283676 -9999.000000 -9999.000000
 21.996714  70.289254 -9999.000000 -9999.000000
 21.996670  70.294832 -9999.000000 -9999.000000
 21.996626  70.300411 -9999.000000 -9999.000000
 21.996582  70.305989 -9999.000000 -9999.000000
 21.996537  70.311567 -9999.000000 -9999.000000
 21.996492  70.317145 -9999.000000 -9999.000000
 21.996448  70.322723 -9999.000000 -9999.000000
 21.996403  70.328301 -9999.000000 -9999.000000
 21.996357  70.333879 -9999.000000 -9999.000000
 21.996312  70.339457 -9999.000000 -9999.000000
 21.996266  70.345035 -9999.000000 -9999.000000
 21.996220  70.350613 -9999.000000 -9999.000000
 21.996174  70.356191 -9999.000000 -9999.000000
 21.996128  70.361769 -9999.000000 -9999.000000
 21.996082  70.367347 -9999.000000 -9999.000000
 21.996035  70.372925 -9999.000000 -9999.000000
 21.995988  70.378503 -9999.000000 -9999.000000
 21.995941  70.384081 -9999.000000 -9999.000000
 21.995894  70.389659 -9999.000000 -9999.000000
 21.995847  70.395237 -9999.000000 -9999.000000
 21.995799  70.400815 -9999.000000 -9999.000000
 21.995752  70.406393 -9999.000000 -9999.000000
 21.995704  70.411971 -9999.000000 -9999.000000
 21.995656  70.417549 -9999.000000 -9999.000000
 21.995607  70.423126 -9999.000000 -9999.000000
 21.995559  70.428704 -9999.000000 -9999.000000
 21.995510  70.434282 -9999.000000 -9999.000000
 21.995461  70.439860 -9999.000000 -9999.000000
 21.995412  70.445438 -9999.000000 -9999.000000
 21.995363  70.451015 -9999.000000 -9999.000000
 21.995314  70.456593 -9999.000000 -9999.000000
 21.995264  70.462171 -9999.000000 -9999.000000
 21.995214  70.467749 -9999.000000 -9999.000000
 21.995164  70.473326 -9999.000000 -9999.000000
 21.995114  70.478904 -9999.000000 -9999.000000
 21.995064  70.484482 -9999.000000 -9999.000000
 21.995013  70.490059 -9999.000000 -9999.000000
 21.994962  70.495637 -9999.000000 -9999.000000
 21.994912  70.501215 -9999.000000 -9999.000000
 21.994860  70.506792 -9999.000000 -9999.000000
 21.994809  70.512370 -9999.000000 -9999.000000
 21.994758  70.517947 -9999.000000 -9999.000000
 21.994706  70.523525 -9999.000000 -9999.000000
 21.994654  70.529102 -9999.000000 -9999.000000
 21.994602  70.534680 -9999.000000 -9999.000000
 21.994550  70.540257 -9999.000000 -9999.000000
 21.994497  70.545835 -9999.000000 -9999.000000
 21.994445  70.551412 -9999.000000 -9999.000000
 21.994392  70.556990 -9999.000000 -9999.000000
 21.994339  70.562567 -9999.000000 -9999.000000
 21.994286  70.568145 -9999.000000 -9999.000000
 21.994232  70.573722 -9999.000000 -9999.000000
 21.994179  70.579299 -9999.000000 -9999.000000
 21.994125  70.584877 -9999.000000 -9999.000000
 21.994071  70.590454 -9999.000000 -9999.000000
 21.994017  70.596032 -9999.000000 -9999.000000
 21.993962  70.601609 -9999.000000 -9999.000000
 21.993908  70.607186 -9999.000000 -9999.000000
 21.993853  70.612763 -9999.000000 -9999.000000
 21.993798  70.618341 -9999.000000 -9999.000000
 21.993743  70.623918 -9999.000000 -9999.000000
 21.993688  70.629495 -9999.000000 -9999.000000
 21.993632  70.635072 -9999.000000 -9999.000000
 21.993577  70.640650 -9999.000000 -9999.000000
 21.993521  70.646227 -9999.000000 -9999.000000
 21.993465  70.651804 -9999.000000 -9999.000000
 21.993409  70.657381 -9999.000000 -9999.000000
 21.993352  70.662958 -9999.000000 -9999.000000
 21.993295  70.668535 -9999.000000 -9999.000000
 21.993239  70.674112 -9999.000000 -9999.000000
 21.993182  70.679689 -9999.000000 -9999.000000
 21.993125  70.685266 -9999.000000 -9999.000000
 21.993067  70.690843 -9999.000000 -9999.000000
 21.993010  70.696420 -9999.000000 -9999.000000
 21.992952  70.701997 -9999.000000 -9999.000000
 21.992894  70.707574 -9999.000000 -9999.000000
 21.992836  70.713151 -9999.000000 -9999.000000
 21.992777  70.718728 -9999.000000 -9999.000000
 21.992719  70.724305 -9999.000000 -9999.000000
 21.992660  70.729882 -9999.000000 -9999.000000
 21.992601  70.735459 -9999.000000 -9999.000000
 21.992542  70.741036 -9999.000000 -9999.000000
 21.992483  70.746613 -9999.000000 -9999.000000
 21.992424  70.752190 -9999.000000 -9999.000000
 21.992364  70.757766 -9999.000000 -9999.000000
 21.992304  70.763343 -9999.000000 -9999.000000
 21.992244  70.768920 -9999.000000 -9999.000000
 21.992184  70.774497 -9999.000000 -9999.000000
 21.992124  70.780073 -9999.000000 -9999.000000
 21.992063  70.785650 -9999.000000 -9999.000000
 21.992002  70.791227 -9999.000000 -9999.000000
 21.991941  70.796803 -9999.000000 -9999.000000
 21.991880  70.802380 -9999.000000 -9999.000000
 21.991819  70.807957 -9999.000000 -9999.000000
 21.991757  70.813533 -9999.000000 -9999.000000
 21.991695  70.819110 -9999.000000 -9999.000000
 21.991634  70.824687 -9999.000000 -9999.000000
